# interface coord = 0.5
# y, <u>_y, <v>_y, <p>_y, <p>^i_y 
2.60909 0.517878 -2.47095e-12 1.22578e-10 1.22578e-10
2.62581 0.517878 8.05172e-13 6.183e-11 6.183e-11
2.64252 0.517878 -6.64217e-14 4.69863e-11 4.69863e-11
2.65924 0.517878 1.62881e-12 5.54515e-11 5.54515e-11
2.67595 0.517878 -4.25942e-13 4.44993e-11 4.44993e-11
2.69267 0.517878 5.68095e-13 -1.49627e-10 -1.49627e-10
2.70938 0.517878 2.8531e-13 -6.60704e-11 -6.60704e-11
2.7261 0.517878 -1.18915e-12 -9.06385e-12 -9.06385e-12
2.74282 0.517878 -2.39651e-13 3.83871e-11 3.83871e-11
2.75953 0.517878 -2.83736e-13 3.94938e-11 3.94938e-11
2.77625 0.517878 5.92761e-13 3.65534e-11 3.65534e-11
2.79296 0.517878 -3.3727e-13 2.94493e-11 2.94493e-11
2.80968 0.517878 -3.37321e-13 -4.45092e-11 -4.45092e-11
2.82639 0.517878 6.32519e-13 -2.23402e-11 -2.23402e-11
2.84311 0.517878 8.82854e-14 7.21484e-12 7.21484e-12
2.85982 0.517878 -4.96252e-13 5.46463e-12 5.46463e-12
2.87654 0.517878 3.53042e-13 -5.99273e-12 -5.99273e-12
2.89325 0.517878 1.39265e-13 3.38858e-11 3.38858e-11
2.90997 0.517878 9.27247e-14 3.72229e-12 3.72229e-12
2.92669 0.517878 4.73493e-15 -1.53927e-11 -1.53927e-11
2.9434 0.517878 3.04206e-14 -3.49354e-11 -3.49354e-11
2.96012 0.517878 -1.10636e-13 5.37263e-12 5.37263e-12
2.97683 0.517878 2.64321e-15 9.03246e-12 9.03246e-12
2.99355 0.517878 1.69949e-14 1.18778e-11 1.18778e-11
3.01026 0.517878 1.47835e-13 5.1046e-12 5.1046e-12
3.02698 0.517878 -1.25461e-13 -4.98945e-13 -4.98945e-13
3.04369 0.517878 2.61186e-14 -1.04619e-11 -1.04619e-11
3.06041 0.517878 -3.18224e-14 -2.01725e-12 -2.01725e-12
3.07713 0.517878 -6.26861e-15 -2.8172e-12 -2.8172e-12
3.09384 0.517878 -1.33874e-15 2.9037e-12 2.9037e-12
3.11056 0.517878 5.25363e-15 3.26111e-12 3.26111e-12
3.12727 0.517878 6.39258e-14 4.28215e-12 4.28215e-12
3.14399 0.517878 8.5091e-15 -4.17942e-12 -4.17942e-12
3.1607 0.517878 -3.6104e-14 -5.60077e-12 -5.60077e-12
3.17742 0.517878 1.52407e-14 -2.60369e-12 -2.60369e-12
3.19413 0.517878 -8.59021e-15 4.89199e-12 4.89199e-12
3.21085 0.517878 -1.87806e-14 3.63575e-12 3.63575e-12
3.22757 0.517878 2.67064e-14 1.5186e-12 1.5186e-12
3.24428 0.517878 1.41818e-14 1.42335e-12 1.42335e-12
3.261 0.517878 1.93778e-14 -9.67383e-13 -9.67383e-13
3.27771 0.517878 4.42332e-14 -9.42061e-13 -9.42061e-13
3.29443 0.517878 2.48876e-15 -2.90443e-12 -2.90443e-12
3.31114 0.517878 -2.0356e-14 -1.04989e-12 -1.04989e-12
3.32786 0.517878 6.25836e-15 9.37788e-13 9.37788e-13
3.34457 0.517878 1.8916e-15 2.38134e-12 2.38134e-12
3.36129 0.517878 1.1261e-14 6.66863e-13 6.66863e-13
3.37801 0.517878 3.75315e-15 -4.00395e-13 -4.00395e-13
3.39472 0.517878 -1.82816e-15 -1.87613e-12 -1.87613e-12
3.41144 0.517878 4.47339e-16 -7.92368e-13 -7.92368e-13
3.42815 0.517878 -5.47915e-15 3.85969e-13 3.85969e-13
3.44487 0.517878 -8.14601e-16 2.12022e-12 2.12022e-12
3.46158 0.517878 1.16271e-14 4.30001e-13 4.30001e-13
3.4783 0.517878 1.13127e-14 -5.83359e-13 -5.83359e-13
3.49501 0.517878 7.01548e-15 -1.26482e-12 -1.26482e-12
3.51173 0.517878 1.5136e-15 -3.31005e-13 -3.31005e-13
3.52845 0.517878 -4.86015e-15 3.52427e-13 3.52427e-13
3.54516 0.517878 1.33103e-15 9.49606e-13 9.49606e-13
3.56188 0.517878 8.33339e-15 1.37231e-13 1.37231e-13
3.57859 0.517878 1.14987e-15 -2.66175e-13 -2.66175e-13
3.59531 0.517878 7.6474e-15 -4.76851e-13 -4.76851e-13
3.61202 0.517878 1.21027e-15 3.65348e-14 3.65348e-14
3.62874 0.517878 2.37322e-15 8.69974e-14 8.69974e-14
3.64545 0.517878 5.87867e-15 9.97935e-14 9.97935e-14
3.66217 0.517878 4.25207e-15 9.05886e-14 9.05886e-14
3.67889 0.517878 2.12273e-15 3.71593e-14 3.71593e-14
